"i","n","fsc","chl","pe","file"
"picoeuk","17890","785","380","1","2017-02-23T21-54-39+00-00"
"beads","547","137","4","20","2017-02-23T21-54-39+00-00"
"picoeuk","15711","831","403","1","2017-02-23T21-57-39+00-00"
"beads","321","147","5","21","2017-02-23T21-57-39+00-00"
"picoeuk","574","802","382","1","2017-02-23T22-00-40+00-00"
"beads","17","148","5","22","2017-02-23T22-00-40+00-00"
"picoeuk","14863","107","332","1","2017-02-23T22-14-17+00-00"
"beads","82","144","18","21","2017-02-23T22-14-17+00-00"
"picoeuk","21409","101","285","1","2017-02-23T22-17-17+00-00"
"beads","303","141","18","21","2017-02-23T22-17-17+00-00"
"picoeuk","436","116","323","1","2017-02-23T22-20-17+00-00"
"beads","11","138","16","19","2017-02-23T22-20-17+00-00"
"picoeuk","15151","475","562","1","2017-02-23T22-34-56+00-00"
"beads","1323","143","18","21","2017-02-23T22-34-56+00-00"
"picoeuk","10659","499","659","1","2017-02-23T22-37-56+00-00"
"beads","1529","137","18","21","2017-02-23T22-37-56+00-00"
"beads","245","132","18","20","2017-02-23T22-40-57+00-00"
"picoeuk","1223","445","476","1","2017-02-23T22-40-57+00-00"
"picoeuk","4111","430","329","1","2017-02-23T22-56-01+00-00"
"beads","129","155","18","22","2017-02-23T22-56-01+00-00"
"picoeuk","29063","423","329","1","2017-02-23T22-58-54+00-00"
"beads","1344","144","18","21","2017-02-23T22-58-54+00-00"
"picoeuk","27562","417","327","1","2017-02-23T23-01-54+00-00"
"beads","1410","138","17","20","2017-02-23T23-01-54+00-00"
"picoeuk","795","415","311","1","2017-02-23T23-04-54+00-00"
"beads","36","138","16","20","2017-02-23T23-04-54+00-00"
"picoeuk","18154","53","682","1","2017-02-23T23-20-40+00-00"
"beads","716","145","18","21","2017-02-23T23-20-40+00-00"
"picoeuk","20261","50","642","1","2017-02-23T23-23-41+00-00"
"beads","1593","133","17","20","2017-02-23T23-23-41+00-00"
"picoeuk","1452","47","602","1","2017-02-23T23-26-41+00-00"
"beads","59","137","19","21","2017-02-23T23-26-41+00-00"
"picoeuk","8756","86","49","1","2017-02-24T23-14-13+00-00"
"beads","4427","136","21","20","2017-02-24T23-14-13+00-00"
"beads","5133","128","21","19","2017-02-24T23-17-14+00-00"
"picoeuk","8623","81","46","1","2017-02-24T23-17-14+00-00"
"picoeuk","730","84","50","1","2017-02-24T23-20-14+00-00"
"beads","553","130","21","19","2017-02-24T23-20-14+00-00"
"picoeuk","37137","7","6","2","2017-05-05T20-03-09+00-00"
"beads","645","315","25","552","2017-05-05T20-03-09+00-00"
"picoeuk","20276","8","7","2","2017-05-05T20-06-09+00-00"
"beads","640","315","26","563","2017-05-05T20-06-09+00-00"
"picoeuk","3686","7","6","2","2017-05-05T20-09-09+00-00"
"beads","51","326","26","569","2017-05-05T20-09-09+00-00"
"picoeuk","3695","3","12","1","2017-05-05T20-33-04+00-00"
"beads","831","672","33","763","2017-05-05T20-33-04+00-00"
"picoeuk","2644","3","12","1","2017-05-05T20-36-05+00-00"
"beads","544","672","33","764","2017-05-05T20-36-05+00-00"
"picoeuk","586070","21","14","2","2017-05-05T20-42-00+00-00"
"beads","2574","684","34","766","2017-05-05T20-42-00+00-00"
"picoeuk","277921","28","19","2","2017-05-05T20-45-00+00-00"
"beads","7698","683","32","747","2017-05-05T20-45-00+00-00"
"picoeuk","14234","22","14","2","2017-05-05T20-48-01+00-00"
"beads","268","679","33","748","2017-05-05T20-48-01+00-00"
"picoeuk","64977","17","23","2","2017-05-05T21-00-59+00-00"
"beads","11576","752","33","770","2017-05-05T21-00-59+00-00"
"picoeuk","58780","18","24","2","2017-05-05T21-03-59+00-00"
"beads","18463","737","32","755","2017-05-05T21-03-59+00-00"
"beads","1156","733","33","768","2017-05-05T21-06-59+00-00"
"picoeuk","5657","17","22","2","2017-05-05T21-06-59+00-00"
"picoeuk","11909","14","6","2","2017-05-05T21-20-05+00-00"
"beads","1500","742","32","744","2017-05-05T21-20-05+00-00"
"picoeuk","6271","14","5","2","2017-05-05T21-23-05+00-00"
"beads","1023","726","32","735","2017-05-05T21-23-05+00-00"
"beads","103","695","33","725","2017-05-05T21-26-06+00-00"
"picoeuk","30","15","11","2","2017-05-05T21-26-06+00-00"
"picoeuk","23503","29","35","2","2017-05-05T21-30-52+00-00"
"beads","1708","726","32","732","2017-05-05T21-30-52+00-00"
"picoeuk","22839","28","35","2","2017-05-05T21-33-52+00-00"
"beads","1850","687","31","713","2017-05-05T21-33-52+00-00"
"picoeuk","1425","23","28","2","2017-05-05T21-36-52+00-00"
"beads","84","650","33","704","2017-05-05T21-36-52+00-00"
"picoeuk","65188","77","71","73","2017-05-05T22-00-33+00-00"
"beads","23195","684","32","727","2017-05-05T22-00-33+00-00"
"beads","20215","653","32","718","2017-05-05T22-03-33+00-00"
"picoeuk","84192","66","58","60","2017-05-05T22-03-33+00-00"
"beads","1044","635","31","705","2017-05-05T22-06-33+00-00"
"picoeuk","5006","69","54","57","2017-05-05T22-06-33+00-00"
"picoeuk","122861","56","67","66","2017-05-05T22-25-06+00-00"
"beads","16759","631","32","713","2017-05-05T22-25-06+00-00"
"picoeuk","159875","50","58","59","2017-05-05T22-28-06+00-00"
"beads","19798","609","31","681","2017-05-05T22-28-06+00-00"
"picoeuk","20742","36","44","46","2017-05-05T22-31-06+00-00"
"beads","1265","599","31","681","2017-05-05T22-31-06+00-00"
