"i","n","fsc","chl","ssc","pe","file","volume.uL","abundance_cells.mL"
"beads",2105,54,9,2776,1576,"E Hux long count 500.3ul.fcs",500.3,4207.47551469118
"picoeuk",1260,458,230,4525,8,"E Hux long count 500.3ul.fcs",500.3,2518.48890665601
"picoeuk",991,434,131,4104,7,"E Hux round 2 500.5ul.fcs",500.5,1980.01998001998
"beads",2010,54,5,2764,1566,"E Hux round 2 500.5ul.fcs",500.5,4015.98401598402
"picoeuk",606,1022,2188,8895,102,"Licmophora long count 496ul.fcs",496,1221.77419354839
"beads",2344,54,4,2778,1576,"Licmophora long count 496ul.fcs",496,4725.8064516129
"beads",2288,54,4,2766,1575,"Licmophora round 2 500.12ul.fcs",500.12,4574.90202351436
"picoeuk",583,1019,2179,8896,97,"Licmophora round 2 500.12ul.fcs",500.12,1165.72022714549
"picoeuk",6228,51,64,292,1,"Micromonas long count 300.3ul.fcs",300.3,20739.2607392607
"beads",1330,53,33,2767,1563,"Micromonas long count 300.3ul.fcs",300.3,4428.90442890443
"picoeuk",5406,47,46,292,1,"Micromonas round 2 300.22ul.fcs",300.22,18006.7950169875
"beads",1171,54,24,2766,1571,"Micromonas round 2 300.22ul.fcs",300.22,3900.47298647658
"picoeuk",8296,144,107,2130,4,"Navicula long count 300.45ul.fcs",300.45,27611.9154601431
"beads",1747,43,4,2788,1493,"Navicula long count 300.45ul.fcs",300.45,5814.61141620902
"picoeuk",6911,137,107,2091,4,"Navicula round 2 300ul.fcs",300,23036.6666666667
"beads",1631,43,4,2809,1503,"Navicula round 2 300ul.fcs",300,5436.66666666667
"picoeuk",21393,66,294,2516,5,"Pt 632 long count 150.46ul.fcs",150.46,142183.969161239
"beads",674,53,9,2779,1571,"Pt 632 long count 150.46ul.fcs",150.46,4479.59590588861
"picoeuk",10333,46,152,2408,5,"Pt 632 long count 200.18ul.fcs",200.18,51618.5433110201
"beads",1125,43,4,2790,1499,"Pt 632 long count 200.18ul.fcs",200.18,5619.94205215306
"picoeuk",20600,83,153,2554,5,"Pt 632 round 2 150.2ul.fcs",150.2,137150.466045273
"beads",644,54,4,2766,1575,"Pt 632 round 2 150.2ul.fcs",150.2,4287.61651131824
"picoeuk",9571,47,149,2412,5,"Pt 632 round 2 200.1ul.fcs",200.1,47831.0844577711
"beads",1029,43,4,2811,1501,"Pt 632 round 2 200.1ul.fcs",200.1,5142.4287856072
"picoeuk",4653,338,205,2304,13,"Tp 1335 long count 300.28ul.fcs",300.28,15495.5374983349
"beads",1674,43,4,2810,1499,"Tp 1335 long count 300.28ul.fcs",300.28,5574.79685626748
"picoeuk",4158,342,205,2215,12,"Tp 1335 round 2 302ul.fcs",302,13768.2119205298
"beads",1672,43,4,2814,1505,"Tp 1335 round 2 302ul.fcs",302,5536.4238410596
"picoeuk",5421,300,129,1740,9,"Tp 3367 long count 200.57ul.fcs",200.57,27027.9702846886
"beads",1131,43,4,2789,1495,"Tp 3367 long count 200.57ul.fcs",200.57,5638.92905220123
"picoeuk",5395,302,127,1610,9,"Tp 3367 round 2 199.97ul.fcs",199.97,26979.0468570286
"beads",1065,43,4,2810,1497,"Tp 3367 round 2 199.97ul.fcs",199.97,5325.79886983047
"picoeuk",4692,529,631,8832,38,"Tw 3365 long count 300.25ul.fcs",300.25,15626.9775187344
"beads",1753,42,4,2772,1490,"Tw 3365 long count 300.25ul.fcs",300.25,5838.46794338052
"picoeuk",4718,544,628,8885,38,"Tw 3365 round 2 300.24ul.fcs",300.24,15714.0953903544
"beads",1753,43,4,2811,1500,"Tw 3365 round 2 300.24ul.fcs",300.24,5838.6624034106
"picoeuk",18990,66,111,209,1,"1314A.fcs",99.9,19009009.009009
"beads",592,2282,290,2445,911,"1314A.fcs",99.9,592592.592592592
"picoeuk",18883,66,112,209,1,"1314B.fcs",100.13,18858483.9708379
"beads",556,2289,289,2427,909,"1314B.fcs",100.13,555278.138420054
"picoeuk",21226,611,911,1197,182,"7803A.fcs",99.87,21253629.7186342
"beads",590,2303,290,2462,909,"7803A.fcs",99.87,590767.998397917
"picoeuk",20784,609,918,1206,184,"7803B.fcs",99.84,20817307.6923077
"beads",600,2304,289,2481,909,"7803B.fcs",99.84,600961.538461538
"picoeuk",174237,91,50,152,1,"AS9601A.fcs",100.05,174149925.037481
"beads",634,2316,292,2429,911,"AS9601A.fcs",100.05,633683.15842079
"picoeuk",173912,90,50,151,1,"AS9601B.fcs",99.98,173946789.357872
"beads",644,2315,291,2426,910,"AS9601B.fcs",99.98,644128.825765153
"picoeuk",95705,47,14,95,1,"Med4A.fcs",100.2,95513972.0558882
"beads",606,2337,287,2291,900,"Med4A.fcs",100.2,604790.419161677
"picoeuk",94957,47,14,95,1,"Med4B.fcs",100.2,94767465.0698603
"beads",527,2348,289,2328,907,"Med4B.fcs",100.2,525948.103792415
"picoeuk",4464,128,132,241,1,"Nat12A A.fcs",99.93,4467126.98889222
"beads",655,2271,288,2428,906,"Nat12A A.fcs",99.93,655458.821174822
"picoeuk",4300,127,131,244,1,"Nat12A B.fcs",99.9,4304304.3043043
"beads",675,2265,287,2406,909,"Nat12A B.fcs",99.9,675675.675675676
"picoeuk",47257,479,748,367,214,"WH8102A.fcs",100.07,47223943.2397322
"beads",618,2249,288,2397,907,"WH8102A.fcs",100.07,617567.702608174
"picoeuk",41170,473,737,357,212,"WH8102B.fcs",100.07,41141201.1591886
"beads",625,2253,288,2426,906,"WH8102B.fcs",100.07,624562.806035775
